weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0202752
33554432,2,0.0547246
67108864,4,0.111913
134217728,8,0.202385
268435456,16,0.35841
33554432,1,0.0469064
67108864,2,0.111024
134217728,4,0.225743
268435456,8,0.385973
536870912,16,0.645602
67108864,1,0.110916
134217728,2,0.242035
268435456,4,0.416214
536870912,8,0.755983
1073741824,16,1.29628
134217728,1,0.258133
268435456,2,0.530756
536870912,4,0.858458
1073741824,8,1.85418
2147483648,16,2.66905
268435456,1,0.613959
536870912,2,1.16148
1073741824,4,2.31747
2147483648,8,3.57564
4294967296,16,6.19864
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
intersect tests
8388608,1,0.0262687
16777216,2,0.0606628
33554432,4,0.132055
67108864,8,0.233272
134217728,16,0.42504
16777216,1,0.0499712
33554432,2,0.11939
67108864,4,0.229404
134217728,8,0.422885
268435456,16,0.738818
33554432,1,0.100362
67108864,2,0.241072
134217728,4,0.480041
268435456,8,0.769428
536870912,16,1.38403
67108864,1,0.23884
134217728,2,0.51668
268435456,4,0.978991
536870912,8,1.55289
1073741824,16,2.82411
134217728,1,0.574527
268435456,2,1.12843
536870912,4,1.98151
1073741824,8,3.44955
2147483648,16,6.04607
268435456,1,oom
536870912,2,oom
1073741824,4,oom
2147483648,8,oom
4294967296,16,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
