weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0213699
33554432,2,0.0249836
67108864,4,0.0508662
134217728,8,0.0450826
268435456,16,0.0707983
33554432,1,0.0422175
67108864,2,0.0604733
134217728,4,0.0664504
268435456,8,0.0807475
536870912,16,0.132561
67108864,1,0.0800297
134217728,2,0.0872991
268435456,4,0.134306
536870912,8,0.12742
1073741824,16,0.162735
134217728,1,0.142644
268435456,2,0.152611
536870912,4,0.257606
1073741824,8,0.228059
2147483648,16,0.334188
268435456,1,0.29696
536870912,2,0.304001
1073741824,4,0.595716
2147483648,8,0.70221
4294967296,16,0.748408
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
17179869184,1,oom
34359738368,2,oom
68719476736,4,oom
137438953472,8,oom
274877906944,16,oom
intersect tests
8388608,1,0.0234127
16777216,2,0.0299008
33554432,4,0.048171
67108864,8,0.0808899
134217728,16,0.20291
16777216,1,0.0497531
33554432,2,0.0564255
67108864,4,0.0967403
134217728,8,0.151015
268435456,16,0.265727
33554432,1,0.0914371
67108864,2,0.110712
134217728,4,0.149991
268435456,8,0.239398
536870912,16,0.360778
67108864,1,0.161769
134217728,2,0.182073
268435456,4,0.251822
536870912,8,0.30669
1073741824,16,0.595355
134217728,1,0.328665
268435456,2,0.380084
536870912,4,0.54903
1073741824,8,0.634734
2147483648,16,1.33727
268435456,1,oom
536870912,2,oom
1073741824,4,oom
2147483648,8,oom
4294967296,16,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
