duplicate_keys
keycount,tablesize,gpucount,time
build tests
67108864,2097152,6,0.377174
67108864,4194304,6,0.381982
67108864,8388608,6,0.384491
67108864,16777216,6,0.380741
67108864,33554432,6,0.409654
67108864,67108864,6,0.411988
67108864,134217728,6,0.455006
67108864,268435456,6,0.529523
67108864,536870912,6,0.688795
67108864,1073741824,6,1.00423
67108864,2147483648,6,1.56651
intersect tests
33554432,2097152,6,
33554432,4194304,6,
33554432,8388608,6,
33554432,16777216,6,
33554432,33554432,6,
33554432,67108864,6,
33554432,134217728,6,
33554432,268435456,6,
33554432,536870912,6,
33554432,1073741824,6,
33554432,2147483648,6,
