duplicate_keys
keycount,tablesize,gpucount,time
build tests
67108864,2097152,6,0.130312
67108864,4194304,6,0.114312
67108864,8388608,6,0.118879
67108864,16777216,6,0.126709
67108864,33554432,6,0.128235
67108864,67108864,6,0.133914
67108864,134217728,6,0.161873
67108864,268435456,6,0
67108864,536870912,6,0
67108864,1073741824,6,0
67108864,2147483648,6,0
intersect tests
33554432,2097152,6,0.182235
33554432,4194304,6,0.160791
33554432,8388608,6,0.172239
33554432,16777216,6,0.171168
33554432,33554432,6,0.168097
33554432,67108864,6,0.203267
33554432,134217728,6,0
33554432,268435456,6,0
33554432,536870912,6,0
33554432,1073741824,6,0
33554432,2147483648,6,0
