strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0614319
16777216,2,0.0428629
16777216,4,0.0415992
16777216,6,0.0436235
33554432,1,0.131289
33554432,2,0.0918994
33554432,4,0.0716209
33554432,6,0.0721948
67108864,1,0.227508
67108864,2,0.169793
67108864,4,0.132523
67108864,6,0.139301
134217728,1,0.46892
134217728,2,0.32194
134217728,4,0.258353
134217728,6,0.268161
268435456,1,oom
268435456,2,0.624947
268435456,4,0.486326
268435456,6,0.454314
536870912,1,oom
536870912,2,oom
536870912,4,0.939762
536870912,6,0.90236
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,6,oom
intersect tests
8388608,1,0.0643576
8388608,2,0.0486287
8388608,4,0.0561974
8388608,6,0.0574413
16777216,1,0.128326
16777216,2,0.093301
16777216,4,0.0873126
16777216,6,0.092705
33554432,1,0.247126
33554432,2,0.179913
33554432,4,0.154248
33554432,6,0.168458
67108864,1,0.47028
67108864,2,0.361856
67108864,4,0.302189
67108864,6,0.295106
134217728,1,oom
134217728,2,0.664718
134217728,4,0.54495
134217728,6,0.586994
268435456,1,oom
268435456,2,oom
268435456,4,1.04744
268435456,6,1.03752
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,oom
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
