weak_scaling
keycount,gpucount,time
build tests
16777215,1,0.0734834
33554430,2,0.148858
67108860,4,0.243023
100663290,6,0.369959
33554431,1,0.124178
67108862,2,0.241275
134217724,4,0.395425
201326586,6,0.594359
67108863,1,0.219788
134217726,2,0.43131
268435452,4,0.68455
402653178,6,1.03603
134217727,1,0.415714
268435454,2,0.808719
536870908,4,1.26143
805306362,6,1.88222
268435455,1,oom
536870910,2,oom
1073741820,4,oom
1610612730,6,oom
536870911,1,oom
1073741822,2,oom
2147483644,4,oom
3221225466,6,oom
1073741823,1,oom
2147483646,2,oom
4294967292,4,oom
6442450938,6,oom
2147483647,1,oom
4294967294,2,oom
8589934588,4,oom
12884901882,6,oom
4294967295,1,oom
8589934590,2,oom
17179869180,4,oom
25769803770,6,oom
8589934591,1,oom
17179869182,2,oom
34359738364,4,oom
51539607546,6,oom
intersect tests
8388607,1,0.0921948
16777214,2,0.172318
33554428,4,0.303724
50331642,6,0.459612
16777215,1,0.157507
33554430,2,0.28561
67108860,4,0.452067
100663290,6,0.675971
33554431,1,0.29097
67108862,2,0.520781
134217724,4,0.807451
201326586,6,1.15604
67108863,1,0.551417
134217726,2,0.984568
268435452,4,1.50375
402653178,6,2.1511
134217727,1,oom
268435454,2,oom
536870908,4,oom
805306362,6,oom
268435455,1,oom
536870910,2,oom
1073741820,4,oom
1610612730,6,oom
536870911,1,oom
1073741822,2,oom
2147483644,4,oom
3221225466,6,oom
1073741823,1,oom
2147483646,2,oom
4294967292,4,oom
6442450938,6,oom
2147483647,1,oom
4294967294,2,oom
8589934588,4,oom
12884901882,6,oom
4294967295,1,oom
8589934590,2,oom
17179869180,4,oom
25769803770,6,oom
