strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0968796
16777216,2,0.096334
16777216,4,0.145348
16777216,6,0.20489
33554432,1,0.15149
33554432,2,0.136726
33554432,4,0.173931
33554432,6,0.245038
67108864,1,0.270155
67108864,2,0.213071
67108864,4,0.227947
67108864,6,0.305996
134217728,1,0.513029
134217728,2,0.363368
134217728,4,0.344732
134217728,6,0.40526
268435456,1,oom
268435456,2,0.691324
268435456,4,0.576398
268435456,6,0.622333
536870912,1,oom
536870912,2,oom
536870912,4,1.00825
536870912,6,1.05777
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,1.9103
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
