strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0381747
16777216,2,0.0372439
16777216,4,0.0589834
16777216,6,0.0849377
33554432,1,0.0742185
33554432,2,0.0685128
33554432,4,0.0967086
33554432,6,0.145796
67108864,1,0.132571
67108864,2,0.132413
67108864,4,0.184366
67108864,6,0.24842
134217728,1,0.263013
134217728,2,0.250075
134217728,4,0.355463
134217728,6,0.463191
268435456,1,oom
268435456,2,0.494245
268435456,4,0.701965
268435456,6,0.964982
536870912,1,oom
536870912,2,oom
536870912,4,1.30338
536870912,6,1.69978
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
