strong_scaling
keycount,gpucount,time
build tests
16777215,1,0.0812329
16777215,2,0.113451
16777215,4,0.159542
16777215,6,0.228777
33554431,1,0.132027
33554431,2,0.176904
33554431,4,0.217288
33554431,6,0.276371
67108863,1,0.238257
67108863,2,0.302398
67108863,4,0.326326
67108863,6,0.382663
134217727,1,0.452193
134217727,2,0.552271
134217727,4,0.536761
134217727,6,0.606707
268435455,1,oom
268435455,2,1.05107
268435455,4,0.97671
268435455,6,1.07255
536870911,1,oom
536870911,2,oom
536870911,4,1.84722
536870911,6,1.93744
1073741823,1,oom
1073741823,2,oom
1073741823,4,oom
1073741823,6,oom
2147483647,1,oom
2147483647,2,oom
2147483647,4,oom
2147483647,6,oom
4294967295,1,oom
4294967295,2,oom
4294967295,4,oom
4294967295,6,oom
8589934591,1,oom
