intersect tests
8388608,1,0.0489114
16777216,2,0.108784
33554432,4,0.205968
67108864,8,0.478433
134217728,16,0.820455
16777216,1,0.10196
33554432,2,0.201634
67108864,4,0.400532
134217728,8,0.67187
268435456,16,1.32654
33554432,1,0.290907
67108864,2,0.400856
134217728,4,0.654274
268435456,8,1.27994
536870912,16,2.29926
67108864,1,0.393943
134217728,2,0.833192
268435456,4,1.29258
536870912,8,2.29208
1073741824,16,4.03693
134217728,1,oom
268435456,2,oom
536870912,4,oom
1073741824,8,oom
2147483648,16,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
2147483648,8,oom
4294967296,16,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
