weak_scaling
keycount,gpucount,time
build tests
16777215,1,0.0836588
33554430,2,0.177377
67108860,4,0.324817
100663290,6,0.492044
33554431,1,0.132055
67108862,2,0.303987
134217724,4,0.549776
201326586,6,0.835128
67108863,1,0.237605
134217726,2,0.553547
268435452,4,0.972659
402653178,6,1.47989
134217727,1,0.451426
268435454,2,1.0496
536870908,4,1.8662
805306362,6,2.82564
268435455,1,oom
536870910,2,oom
1073741820,4,oom
1610612730,6,oom
536870911,1,oom
1073741822,2,oom
2147483644,4,oom
3221225466,6,oom
1073741823,1,oom
2147483646,2,oom
4294967292,4,oom
6442450938,6,oom
2147483647,1,oom
4294967294,2,oom
8589934588,4,oom
12884901882,6,oom
4294967295,1,oom
8589934590,2,oom
17179869180,4,oom
25769803770,6,oom
8589934591,1,oom
