intersect tests
8388608,1,0.106218
8388608,2,0.102098
8388608,4,0.146429
8388608,6,0.206567
16777216,1,0.181519
16777216,2,0.151623
16777216,4,0.186445
16777216,6,0.26265
33554432,1,0.34209
33554432,2,0.24989
33554432,4,0.261412
33554432,6,0.347752
67108864,1,0.655998
67108864,2,0.443773
67108864,4,0.418477
67108864,6,0.510796
134217728,1,oom
134217728,2,0.840227
134217728,4,0.685585
134217728,6,0.763692
268435456,1,oom
268435456,2,oom
268435456,4,1.26409
268435456,6,1.29977
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,2.32405
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
