intersect tests
8388608,1,0.040745
8388608,2,0.047102
8388608,4,0.0899154
8388608,6,0.143809
16777216,1,0.0777789
16777216,2,0.0813048
16777216,4,0.135313
16777216,6,0.206326
33554432,1,0.151853
33554432,2,0.150397
33554432,4,0.227213
33554432,6,0.334894
67108864,1,0.299699
67108864,2,0.289026
67108864,4,0.431293
67108864,6,0.595526
134217728,1,oom
134217728,2,0.580063
134217728,4,0.79203
134217728,6,1.05088
268435456,1,oom
268435456,2,oom
268435456,4,1.51092
268435456,6,2.07641
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,oom
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
