keycount,gpucount,time
build tests
16777216,1,
16777216,2,
16777216,4,
16777216,6,
33554432,1,
33554432,2,
33554432,4,
33554432,6,
67108864,1,
67108864,2,
67108864,4,
67108864,6,
134217728,1,
134217728,2,
134217728,4,
134217728,6,
268435456,1,
268435456,2,
268435456,4,
268435456,6,
536870912,1,
536870912,2,
536870912,4,
536870912,6,
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,6,
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,6,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,6,
8589934592,1,
8589934592,2,
8589934592,4,
8589934592,6,
intersect tests
8388608,1,
8388608,2,
8388608,4,
8388608,6,
16777216,1,
16777216,2,
16777216,4,
16777216,6,
33554432,1,
33554432,2,
33554432,4,
33554432,6,
67108864,1,
67108864,2,
67108864,4,
67108864,6,
134217728,1,
134217728,2,
134217728,4,
134217728,6,
268435456,1,
268435456,2,
268435456,4,
268435456,6,
536870912,1,
536870912,2,
536870912,4,
536870912,6,
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,6,
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,6,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,6,
