strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0115487
16777216,2,0.0196608
16777216,4,0.0210924
16777216,8,0.030422
16777216,16,0.103077
33554432,1,0.0288348
33554432,2,0.037631
33554432,4,0.0365906
33554432,8,0.0452895
33554432,16,0.108776
67108864,1,0.0707564
67108864,2,0.0838492
67108864,4,0.0706273
67108864,8,0.0744571
67108864,16,0.121832
134217728,1,0.186573
134217728,2,0.193385
134217728,4,0.143653
134217728,8,0.135376
134217728,16,0.184122
268435456,1,0.433906
268435456,2,0.43317
268435456,4,0.310134
268435456,8,0.275083
268435456,16,0.313358
536870912,1,oom
536870912,2,0.782982
536870912,4,0.684746
536870912,8,0.541164
536870912,16,0.556485
1073741824,1,oom
1073741824,2,oom
1073741824,4,1.48842
1073741824,8,1.05888
1073741824,16,1.02886
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,8,2.25346
2147483648,16,2.07309
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,16,4.45807
8589934592,1,oom
8589934592,2,oom
